SUBSET,QUESTION,A,B,C,D,E,TRUE
B4B35OSY,"Co je deadlock?","Stav, kdy proces čeká na zdroj, který není dostupný","Přerušení programu","Ukončení vlákna","Přetížení procesoru","Chyba v paměti",A
B4B35OSY,"Jaký je účel souborového systému?","Ukládání a organizace dat","Správa procesů","Plánování úloh","Správa paměti","Zabezpečení sítě",A
B4B35OSY,"Co způsobuje fragmentaci paměti?","Neefektivní alokace paměti","Příliš velká RAM","Chyby v procesoru","Nedostatek virtuální paměti","Přetížení disku",A
B4B35OSY,"Který z následujících je příkladem virtualizační technologie?","Dual boot","Hypervisor","Emulátor procesoru","Kompilátor","Operační systém",B
B4B35OSY,"Co je stránkování?","Dělení paměti na segmenty","Dělení paměti na proměnné bloky","Dělení paměti na pevné stránky","Dělení paměti na cache","Dělení paměti na vlákna",C
B4B35OSY,"Jaký je hlavní rozdíl mezi monolitickým a mikrojádrovým OS?","Monolitický OS má vše v jádře, mikrojádrový má minimální jádro","Mikrojádrový OS je pomalejší","Monolitický OS je bezpečnější","Mikrojádrový OS je monolitický","Monolitický OS nepoužívá jádro",A
B4B35OSY,"Co je kontextový přepínač?","Přepnutí mezi programy","Přepnutí mezi uživatelem a jádrem","Přepnutí mezi procesy","Přepnutí mezi OS","Přepnutí mezi sítěmi",C
B4B35OSY,"Který způsob není řešením deadlocku?","Prevence","Detekce","Ignorování","Avoidance","Restart systému",C
B4B35OSY,"Co je účelem cache paměti?","Zrychlení přístupu k datům","Ukládání souborů","Správa procesů","Zabezpečení dat","Alokace paměti",A
B4B35OSY,"Co spouští přerušení (interrupt)?","Požadavek na změnu procesu","Signál z hardwaru nebo softwaru","Ukončení programu","Spuštění vlákna","Chyba v síti",B
B4B35OSY,"Co je multiprogramming?","Spuštění více programů najednou","Spuštění jednoho programu","Spuštění více OS","Spuštění více sítí","Spuštění více disků",A
B4B35OSY,"Který souborový systém je typický pro Linux?","NTFS","FAT32","ext4","HFS+","APFS",C
B4B35OSY,"Co je virtuální stroj?","Simulace hardwaru pomocí softwaru","Fyzický server","Operační systém","Síťový protokol","Aplikace",A
B4B35OSY,"Co zahrnuje správa paměti v OS?","Alokaci, ochranu a optimalizaci paměti","Pouze alokaci paměti","Pouze ochranu paměti","Pouze optimalizaci paměti","Správu disků",E
B4B35OSY,"Co je thrashing?","Nadměrné stránkování kvůli nedostatku paměti","Přetížení procesoru","Chyba v síti","Fragmentace disku","Přerušení programu",A
B4B35OSY,"Které je systémové volání v Unixu?","fork()","print()","readline()","allocate()","close()",A
B4B35OSY,"Co je kritická sekce?","Kód přistupující ke sdíleným zdrojům","Kód v jádře","Kód v uživatelském prostoru","Kód pro vlákna","Kód pro sítě",A
B4B35OSY,"Jaký je rozdíl mezi preemptivním a nepreemptivním plánováním?","Preemptivní umožňuje přerušení, nepreemptivní ne","Nepreemptivní je rychlejší","Preemptivní je pomalejší","Nepreemptivní je bezpečnější","Preemptivní je jednodušší",A
B4B35OSY,"Co je semafor?","Synchronizační mechanismus","Typ paměti","Typ procesoru","Typ disku","Typ sítě",A
B4B35OSY,"Který z následujících není souborový systém?","FAT","NTFS","ext4","TCP/IP","HFS+",D
B4B35OSY,"Co je virtuální adresní prostor?","Adresní prostor přidělený procesu","Fyzická paměť","Paměť jádra","Paměť disku","Paměť sítě",A
B4B35OSY,"Jaký je účel ochrany paměti?","Zabránění neoprávněnému přístupu","Zrychlení přístupu","Snížení fragmentace","Zvětšení paměti","Správa disků",A
B4B35OSY,"Co je hypervisor?","Software pro virtualizaci","Operační systém","Aplikace","Síťový protokol","Hardware",A
B4B35OSY,"Který je příklad virtualizace na úrovni OS?","Docker","VMware","Hyper-V","VirtualBox","KVM",A
B4B35OSY,"Co je swap prostor?","Diskový prostor pro virtuální paměť","Cache paměť","Prostor pro soubory","Prostor pro procesy","Prostor pro jádro",A
B4B35OSY,"Jaký je rozdíl mezi vláknem a procesem?","Vlákno sdílí adresní prostor, proces ne","Proces je lehčí","Vlákno je těžší","Proces sdílí paměť","Nejsou rozdíly",A
B4B35OSY,"Co je stránková tabulka?","Mapování virtuálních na fyzické adresy","Mapování procesů","Mapování vláken","Mapování souborů","Mapování sítí",A
B4B35OSY,"Který algoritmus se používá pro alokaci paměti?","First Fit","Best Fit","Worst Fit","Buddy System","Všechny uvedené",E
B4B35OSY,"Co je mutex?","Zámek pro vzájemné vyloučení","Typ paměti","Typ procesoru","Typ disku","Typ sítě",A
B4B35OSY,"Co dělá plánovač procesů?","Rozhoduje, který proces běží","Spravuje paměť","Spravuje soubory","Spravuje síť","Spravuje disky",A
B4B35OSY,"Co je fork() v Unixu?","Vytvoření nového procesu","Ukončení procesu","Přerušení procesu","Pozastavení procesu","Restart procesu",A
B4B35OSY,"Který není stav procesu?","Running","Ready","Blocked","Terminated","Suspended",E
B4B35OSY,"Co je race condition?","Závislost na pořadí operací","Přerušení procesu","Ukončení procesu","Spuštění procesu","Pozastavení procesu",A
B4B35OSY,"Co organizuje souborový systém?","Soubory a adresáře","Procesy","Paměť","Síť","Uživatele",A
B4B35OSY,"Co je inode v Unixu?","Metadata souboru","Data souboru","Adresáře","Procesy","Vlákna",A
B4B35OSY,"Který je souborový systém?","FAT","NTFS","ext4","HFS+","Všechny uvedené",E
B4B35OSY,"Co je virtuální souborový systém?","Abstrakce nad souborovými systémy","Fyzický systém","Síťový systém","Systém pro VM","Systém pro databáze",A
B4B35OSY,"Jaký je rozdíl mezi FAT a NTFS?","FAT je jednodušší, NTFS pokročilejší","NTFS je jednodušší","FAT je rychlejší","NTFS je pomalejší","FAT je bezpečnější",A
B4B35OSY,"Co je journaling?","Záznam změn pro obnovu","Záznam přístupů","Záznam chyb","Záznam uživatelů","Záznam sítě",A
B4B35OSY,"Který není souborový systém?","FAT","NTFS","ext4","HFS+","IPSec",E
B4B35OSY,"Co je virtuální paměť?","Simulace paměti diskem","Fyzická paměť","Sdílená paměť","Paměť jádra","Cache paměť",A
B4B35OSY,"Jaký je účel virtuální paměti?","Zvětšení dostupné paměti","Zrychlení přístupu","Zabezpečení paměti","Snížení fragmentace","Správa disků",A
B4B35OSY,"Co je stránkování v paměti?","Dělení na pevné bloky","Dělení na proměnné bloky","Dělení na segmenty","Dělení na stránky","Dělení na cache",D
B4B35OSY,"Který je algoritmus nahrazování stránek?","FIFO","LRU","Optimal","Clock","Všechny uvedené",E
B4B35OSY,"Co je fragmentace?","Nevyužitá paměť mezi bloky","Sloučená paměť","Ztracená paměť","Alokovaná paměť","Uvolněná paměť",A
B4B35OSY,"Jaký je rozdíl mezi interní a externí fragmentací?","Interní je v blocích, externí mezi nimi","Externí je v blocích","Interní je na disku","Externí je v jádře","Interní je rychlejší",A
B4B35OSY,"Co je kompakování paměti?","Sloučení volných bloků","Rozdělení bloků","Přidělení bloků","Uvolnění bloků","Optimalizace bloků",A
B4B35OSY,"Který je příklad virtualizace?","Dual boot","Hypervisor","Emulátor","Simulátor","Kompilátor",B
B4B35OSY,"Co je hypervisor?","Software pro virtualizaci","OS","Aplikace","Síťový protokol","Hardware",A
B4B35OSY,"Jaký je rozdíl mezi hypervisorem typu 1 a 2?","Typ 1 běží na hardware, typ 2 na OS","Typ 2 běží na hardware","Typ 1 je pomalejší","Typ 2 je bezpečnější","Typ 1 je jednodušší",A
B4B35OSY,"Co je kontejnerizace?","Izolace aplikací na úrovni OS","Izolace na hardware","Izolace na síti","Izolace na disku","Izolace na paměti",A
B4B35OSY,"Který je příklad kontejnerizační platformy?","Docker","VMware","VirtualBox","Hyper-V","KVM",A
B4B35OSY,"Co je bezpečnostní model?","Pravidla pro ochranu systému","Pravidla pro paměť","Pravidla pro procesy","Pravidla pro soubory","Pravidla pro síť",A
B4B35OSY,"Který není typ autentizace?","Heslo","Biometrika","Token","Certifikát","IP adresa",E
B4B35OSY,"Co je autorizace?","Ověření identity","Přidělení oprávnění","Šifrování dat","Dešifrování dat","Komprese dat",B
B4B35OSY,"Jaký je účel firewallu?","Filtrování síťového provozu","Šifrování provozu","Komprese provozu","Optimalizace provozu","Monitorování provozu",A
B4B35OSY,"Co je malware?","Škodlivý software","Užitečný software","Systémový software","Aplikační software","Síťový software",A
B4B35OSY,"Který je příklad malware?","Virus","Trojan","Worm","Spyware","Všechny uvedené",E
B4B35OSY,"Co je šifrování?","Zakódování dat","Dekódování dat","Komprese dat","Dekomprese dat","Optimalizace dat",A
B4B35OSY,"Jaký je rozdíl mezi symetrickým a asymetrickým šifrováním?","Symetrické má jeden klíč, asymetrické dva","Asymetrické má jeden klíč","Symetrické je pomalejší","Asymetrické je jednodušší","Symetrické je bezpečnější",A
B4B35OSY,"Co je digitální podpis?","Ověření identity","Šifrování dat","Komprese dat","Optimalizace dat","Monitorování dat",A
B4B35OSY,"Který je příklad OS?","Windows","Linux","macOS","Unix","Všechny uvedené",E
B4B35OSY,"Co je bootování?","Spuštění OS","Ukončení OS","Přerušení OS","Pozastavení OS","Restart OS",A
B4B35OSY,"Jaký je účel jádra OS?","Správa hardwaru","Správa aplikací","Optimalizace rozhraní","Zabezpečení dat","Vytváření účtů",A
B4B35OSY,"Co je shell v Unixu?","Interpret příkazů","Jádro OS","Souborový systém","Síťový protokol","Databáze",A
B4B35OSY,"Který není typ OS?","Monolitický","Mikrojádrový","Hybridní","Distribuovaný","Sekvenční",E
B4B35OSY,"Co je systémové volání?","Požadavek na službu OS","Příkaz pro hardware","Funkce v programu","Přerušení sítě","Instrukce procesoru",D
B4B35OSY,"Jaký je rozdíl mezi procesem a vláknem?","Proces má vlastní paměť, vlákno sdílí","Vlákno má vlastní paměť","Proces je pomalejší","Vlákno je těžší","Nejsou rozdíly",A
B4B35OSY,"Co je virtuální paměť?","Simulace paměti diskem","Fyzická paměť","Sdílená paměť","Paměť jádra","Cache paměť",B
B4B35OSY,"Který algoritmus je pro real-time?","Round Robin","Shortest Job First","Priority Scheduling","First Come First Served","Rate Monotonic Scheduling",E
B4B35OSY,"Co je deadlock?","Stav nedostupného zdroje","Přerušení","Ukončení","Přetížení","Chyba",A
B4B35OSY,"Jaký je účel souborového systému?","Správa dat","Správa procesů","Správa paměti","Správa sítě","Správa uživatelů",A
B4B35OSY,"Co je fragmentace paměti?","Nevyužitá paměť","Sloučená paměť","Ztracená paměť","Alokovaná paměť","Uvolněná paměť",A
B4B35OSY,"Který je příklad virtualizace?","Dual boot","Hypervisor","Emulátor","Simulátor","Kompilátor",B
B4B35OSY,"Co je stránkování?","Dělení na pevné bloky","Dělení na proměnné bloky","Dělení na segmenty","Dělení na stránky","Dělení na cache",D
B4B35OSY,"Jaký je rozdíl mezi monolitickým a mikrojádrovým OS?","Monolitický má vše v jádře","Mikrojádrový je rychlejší","Monolitický je pomalejší","Mikrojádrový je jednodušší","Monolitický je bezpečnější",A
B4B35OSY,"Co je kontextový přepínač?","Přepnutí mezi programy","Přepnutí mezi jádrem a uživatelem","Přepnutí mezi procesy","Přepnutí mezi OS","Přepnutí mezi sítěmi",C
B4B35OSY,"Který není řešení deadlocku?","Prevence","Detekce","Ignorování","Avoidance","Restart",C
B4B35OSY,"Co je cache paměť?","Rychlá paměť pro data","Paměť pro soubory","Paměť pro procesy","Paměť pro vlákna","Paměť pro jádro",A
B4B35OSY,"Co je přerušení?","Signál z hardwaru/softwaru","Spuštění programu","Ukončení programu","Pozastavení programu","Restart programu",B
B4B35OSY,"Co je multiprogramming?","Více programů najednou","Jeden program","Více OS","Více sítí","Více disků",A
B4B35OSY,"Který souborový systém je pro Linux?","NTFS","FAT32","ext4","HFS+","APFS",C
B4B35OSY,"Co je virtuální stroj?","Simulace hardwaru","Fyzický počítač","OS","Aplikace","Síť",A
B4B35OSY,"Co zahrnuje správa paměti?","Alokaci a ochranu","Pouze alokaci","Pouze ochranu","Pouze optimalizaci","Všechny uvedené",E
B4B35OSY,"Co je thrashing?","Nadměrné stránkování","Přetížení CPU","Chyba sítě","Fragmentace disku","Přerušení",A
B4B35OSY,"Které je systémové volání?","fork()","print()","read()","write()","close()",D
B4B35OSY,"Co je kritická sekce?","Kód se sdílenými zdroji","Kód v jádře","Kód v programu","Kód pro vlákna","Kód pro síť",A
B4B35OSY,"Jaký je rozdíl mezi preemptivním a nepreemptivním plánováním?","Preemptivní přerušuje procesy","Nepreemptivní je rychlejší","Preemptivní je pomalejší","Nepreemptivní je bezpečnější","Preemptivní je jednodušší",A
B4B35OSY,"Co je semafor?","Synchronizační nástroj","Typ paměti","Typ procesoru","Typ disku","Typ sítě",A
B4B35OSY,"Který není souborový systém?","FAT","NTFS","ext4","TCP/IP","HFS+",D
B4B35OSY,"Co je virtuální adresní prostor?","Paměť přidělená procesu","Fyzická paměť","Paměť jádra","Paměť disku","Paměť sítě",A
B4B35OSY,"Jaký je účel ochrany paměti?","Zabránění neoprávněnému přístupu","Zrychlení přístupu","Snížení fragmentace","Zvětšení paměti","Správa disků",A
B4B35OSY,"Co je hypervisor?","Software pro virtualizaci","OS","Aplikace","Síťový protokol","Hardware",A
B4B33ALG,Jaká je nejlepší časová složitost binárního vyhledávání v seřazeném poli?,O(1),O(log n),O(n),O(n log n),O(n²),B
B4B33ALG,Který z následujících algoritmů není in-place?,Bubble sort,Insertion sort,Merge sort,Quick sort,Selection sort,C
B4B33ALG,Co je pravda o binárním vyhledávacím stromu (BST)?,Všechny operace mají O(log n),BST je vždy vyvážený,V levém podstromu jsou menší hodnoty než v kořeni,BST nemůže obsahovat duplicity,Vyhledávání je pomalejší než v AVL stromu,C
B4B33ALG,Jaká je průměrná časová složitost vložení do hashovací tabulky s řetězením?,O(1),O(log n),O(n),O(n log n),O(n²),A
B4B33ALG,Který algoritmus nalézá minimální kostru grafu?,BFS,DFS,Dijkstraův algoritmus,Kruskaův algoritmus,Bellman-Fordův algoritmus,D
B4B33ALG,Co je dynamické programování?,Technika pro optimalizaci rekurzivních algoritmů,Metoda pro řazení dat,Algoritmus pro vyhledávání v grafech,Způsob ukládání dat,Technika pro paralelní zpracování,A
B4B33ALG,Jaká je časová složitost nalezení nejkratší cesty v neváženém grafu?,O(V),O(E),O(V + E),O(V log V),O(V²),C
B4B33ALG,Která datová struktura je nejvhodnější pro implementaci fronty?,Pole,Spojový seznam,Binární vyhledávací strom,Halda,Hashovací tabulka,B
B4B33ALG,Co je halda?,Strom kde každý uzel je menší než jeho potomci,Strom kde každý uzel je větší než jeho potomci,Lineární struktura,Grafová struktura,Struktura pro rychlé vyhledávání,A
B4B33ALG,Jaká je časová složitost vložení prvku do AVL stromu?,O(1),O(log n),O(n),O(n log n),O(n²),B
B4B33ALG,Který algoritmus má nejhorší časovou složitost O(n²)?,Merge sort,Quick sort,Insertion sort,Heap sort,Bubble sort,E
B4B33ALG,Co je pravda o prohledávání do šířky (BFS)?,Používá zásobník,Navštěvuje uzly od nejvzdálenějších,Je vhodný pro nejkratší cestu v neváženém grafu,Má složitost O(V²),Nelze použít na nesouvislé grafy,C
B4B33ALG,Jaká je prostorová složitost rekurzivního výpočtu Fibonacciho čísel bez optimalizace?,O(1),O(log n),O(n),O(n²),O(2ⁿ),C
B4B33ALG,Která operace na hashovací tabulce může mít v nejhorším případě složitost O(n)?,Vložení,Smazání,Vyhledání,Všechny výše uvedené,Žádná z výše uvedených,D
B4B33ALG,Co je hlavní výhodou BST oproti lineárnímu seznamu?,Rychlejší vkládání,Menší paměťová náročnost,Rychlejší vyhledávání,Jednodušší implementace,Možnost duplicit,C
B4B33ALG,Který algoritmus je stabilní?,Quick sort,Merge sort,Heap sort,Selection sort,Bubble sort,B
B4B33ALG,Jaká je časová složitost Quick sort v průměrném případě?,O(n),O(n log n),O(n²),O(log n),O(2ⁿ),B
B4B33ALG,Co je vlastností dobré hashovací funkce?,Vytváří kolize,Je pomalá,Minimalizuje kolize,Je nestabilní,Vrací stejné hodnoty pro různé vstupy,C
B4B33ALG,Který algoritmus používá frontu?,DFS,BFS,Dijkstraův algoritmus,Kruskaův algoritmus,Primův algoritmus,B
B4B33ALG,Jaká je časová složitost smazání prvku z haldy?,O(1),O(log n),O(n),O(n log n),O(n²),B
B4B33ALG,Která struktura je vhodná pro rychlé vyhledávání klíčů?,Pole,Spojový seznam,Hashovací tabulka,Binární strom,Halda,C
B4B33ALG,Co je pravda o AVL stromech?,Nejsou vyvážené,Mají výškový rozdíl mezi podstromy max. 1,Všechny operace jsou O(n),Nemohou být prázdné,Není třeba rotace,B
B4B33ALG,Jaká je nejhorší časová složitost Merge sort?,O(n),O(n log n),O(n²),O(log n),O(2ⁿ),B
B4B33ALG,Který algoritmus řeší problém batohu?,Greedy algoritmus,Divide and Conquer,Dynamické programování,Backtracking,Brute Force,C
B4B33ALG,Co je asymptotická složitost?,Popis rychlosti algoritmu při malém n,Popis rychlosti algoritmu při velkém n,Přesný čas běhu algoritmu,Množství paměti algoritmu,Počet operací v nejhorším případě,B
B4B33ALG,Která metoda řeší kolize v hashovacích tabulkách?,Lineární prohledávání,Kvadratické prohledávání,Dvojité hashování,Řetězení,Všechny výše uvedené,E
B4B33ALG,Jaká je časová složitost prohledávání do hloubky (DFS)?,O(V),O(E),O(V + E),O(V log V),O(V²),C
B4B33ALG,Který algoritmus není vhodný pro grafy se zápornými váhami?,BFS,DFS,Dijkstraův algoritmus,Bellman-Fordův algoritmus,Kruskaův algoritmus,C
B4B33ALG,Co je podmínkou pro použití binárního vyhledávání?,Data musí být seřazená,Data musí být neseřazená,Data musí být v BST,Data musí být v haldě,Data musí být unikátní,A
B4B33ALG,Jaká je časová složitost Bubble sort v nejlepším případě?,O(1),O(n),O(n log n),O(n²),O(2ⁿ),B
B4B33ALG,Která struktura je nejlepší pro implementaci zásobníku?,Pole,Spojový seznam,Binární strom,Halda,Hashovací tabulka,A
B4B33ALG,Co je pravda o dynamickém programování?,Nepoužívá rekurzi,Využívá překrývající se podproblémy,Není efektivní pro velká data,Nevyžaduje paměť,Není iterativní,B
B4B33ALG,Jaká je časová složitost Dijkstrova algoritmu s binární haldou?,O(V),O(V + E),O(V log V),O((V + E) log V),O(V²),D
B4B33ALG,Který algoritmus je příkladem Divide and Conquer?,Bubble sort,Merge sort,Insertion sort,Selection sort,Heap sort,B
B4B33ALG,Co je nejhorší scénář pro Quick sort?,Pole je seřazené,Pole je náhodné,Pole je prázdné,Pole má duplicity,Pole je malé,A
B4B33ALG,Jaká je časová složitost vyhledání v BST v nejhorším případě?,O(1),O(log n),O(n),O(n log n),O(n²),C
B4B33ALG,Která vlastnost platí pro červenohnědé stromy?,Kořen je červený,Všechny listy jsou černé,Cesta k listu má stejný počet černých uzlů,Nejsou vyvážené,Nemají rotace,C
B4B33ALG,Co je cílem Kruskova algoritmu?,Najít nejkratší cestu,Najít minimální kostru,Najít maximální tok,Najít cykly,Najít komponenty souvislosti,B
B4B33ALG,Jaká je průměrná časová složitost Selection sort?,O(n),O(n log n),O(n²),O(log n),O(2ⁿ),C
B4B33ALG,Který algoritmus je iterativní?,DFS,BFS,Bubble sort,Dijkstraův algoritmus,Kruskaův algoritmus,C
B4B33ALG,Co je výhodou spojového seznamu oproti poli?,Rychlejší vyhledávání,Stabilní paměť,Rychlejší vkládání a mazání,Menší paměťová náročnost,Není třeba alokace,C
B4B33ALG,Jaká je časová složitost vybudování haldy z pole?,O(1),O(log n),O(n),O(n log n),O(n²),C
B4B33ALG,Který algoritmus není optimální pro velké grafy?,BFS,DFS,Dijkstraův algoritmus,Bellman-Fordův algoritmus,Kruskaův algoritmus,D
B4B33ALG,Co je podstatou Theta notace?,Horní mez,Spodní mez,Přesná asymptotická mez,Průměrná složitost,Nejhorší složitost,C
B4B33ALG,Jaká je časová složitost vložení do binárního vyhledávacího stromu?,O(1),O(log n),O(n),O(n log n),O(n²),C
B4B33ALG,Která technika je použita v Merge sort?,Greedy,Divide and Conquer,Dynamické programování,Backtracking,Brute Force,B
B4B33ALG,Co je pravda o hashovacích tabulkách?,Nemohou mít kolize,Mají konstantní čas vyhledání v průměru,Nemohou být prázdné,Není třeba hashovací funkce,Vyhledávání je vždy O(n),B
B4B33ALG,Jaká je časová složitost Bellman-Fordova algoritmu?,O(V),O(V + E),O(VE),O(V log V),O(V²),C
B4B33ALG,Který algoritmus je vhodný pro detekci cyklů?,BFS,DFS,Dijkstraův algoritmus,Kruskaův algoritmus,Primův algoritmus,B
B4B33ALG,Co je nejlepší časová složitost Insertion sort?,O(1),O(n),O(n log n),O(n²),O(2ⁿ),B
B4B33ALG,Jaká je hlavní nevýhoda lineárního vyhledávání?,Je pomalé na malých datech,Není stabilní,Má složitost O(n),Vyžaduje seřazená data,Není iterativní,C
B4B33ALG,Která struktura je nejlepší pro dynamické změny velikosti?,Pole,Spojový seznam,Binární strom,Halda,Hashovací tabulka,B
B4B33ALG,Co je cílem Primova algoritmu?,Najít nejkratší cestu,Najít minimální kostru,Najít maximální tok,Najít cykly,Najít komponenty,B
B4B33ALG,Jaká je časová složitost Heap sort?,O(n),O(n log n),O(n²),O(log n),O(2ⁿ),B
B4B33ALG,Který algoritmus je nejlepší pro seřazení téměř seřazeného pole?,Quick sort,Merge sort,Insertion sort,Selection sort,Bubble sort,C
B4B33ALG,Co je pravda o prohledávání do hloubky (DFS)?,Používá frontu,Je iterativní,Využívá zásobník,Není rekurzivní,Není vhodné pro grafy,C
B4B33ALG,Jaká je časová složitost vyhledání v hashovací tabulce v průměru?,O(1),O(log n),O(n),O(n log n),O(n²),A
B4B33ALG,Která vlastnost není typická pro haldu?,Je vždy vyvážená,Má minimální prvek v kořeni,Všechny listy jsou na stejné úrovni,Vyhledávání je O(log n),Vložení je O(log n),C
B4B33ALG,Co je výhodou dynamického programování?,Rychlé vyhledávání,Redukce časové složitosti,Není třeba rekurze,Není třeba paměti,Jednoduchá implementace,B
B4B33ALG,Jaká je časová složitost Kruskova algoritmu s disjoint-set?,O(E),O(V log V),O(E log V),O(V + E),O(V²),C
B4B33ALG,Který algoritmus je nejlepší pro velká neseřazená data?,Quick sort,Merge sort,Insertion sort,Selection sort,Bubble sort,A
B4B33ALG,Co je podstatou Big O notace?,Přesný čas běhu,Spodní mez,Horní mez,Přesná složitost,Průměrná složitost,C
B4B33ALG,Jaká je časová složitost smazání z AVL stromu?,O(1),O(log n),O(n),O(n log n),O(n²),B
B4B33ALG,Která technika je použita v Dijkstrově algoritmu?,Greedy,Divide and Conquer,Dynamické programování,Backtracking,Brute Force,A
B4B33ALG,Co je nevýhodou hashovacích tabulek?,Rychlé vyhledávání,Kolize,Není třeba paměti,Není stabilní,Není iterativní,B
B4B33ALG,Jaká je časová složitost vytvoření binárního stromu z n prvků?,O(n),O(n log n),O(n²),O(log n),O(2ⁿ),A
B4B33ALG,Který algoritmus je nejlepší pro nalezení nejkratší cesty v grafu se zápornými váhami?,BFS,DFS,Dijkstraův algoritmus,Bellman-Fordův algoritmus,Kruskaův algoritmus,D
B4B33ALG,Co je pravda o binárním vyhledávání?,Je rekurzivní pouze,Není efektivní na malých datech,Vyžaduje seřazená data,Není iterativní,Nemůže být optimalizováno,C
B4B33ALG,Jaká je časová složitost Bubble sort v nejhorším případě?,O(n),O(n log n),O(n²),O(log n),O(2ⁿ),C
B4B33ALG,Která struktura je nejlepší pro rychlé mazání prvků?,Pole,Spojový seznam,Binární strom,Halda,Hashovací tabulka,B
B4B33ALG,Co je cílem Bellman-Fordova algoritmu?,Najít minimální kostru,Najít nejkratší cestu,Najít maximální tok,Najít cykly,Najít komponenty,B
B4B33ALG,Jaká je časová složitost Merge sort v nejlepším případě?,O(n),O(n log n),O(n²),O(log n),O(2ⁿ),B
B4B33ALG,Který algoritmus je nejlepší pro malá data?,Quick sort,Merge sort,Insertion sort,Selection sort,Bubble sort,C
B4B33ALG,Co je pravda o Quick sort?,Je stabilní,Není rekurzivní,Vybírá pivot,Není in-place,Není efektivní,C
B4B33ALG,Jaká je časová složitost vyhledání v AVL stromu?,O(1),O(log n),O(n),O(n log n),O(n²),B
B4B33ALG,Která vlastnost platí pro minimální kostru?,Obsahuje cykly,Nemá cykly,Je vždy souvislá,Není minimální,Není strom,B
B4B33ALG,Co je nevýhodou binárního vyhledávacího stromu?,Rychlé vyhledávání,Může být nevyvážený,Není třeba rotace,Není stabilní,Není iterativní,B
B4B33ALG,Jaká je časová složitost Selection sort v nejlepším případě?,O(n),O(n log n),O(n²),O(log n),O(2ⁿ),C
B4B33ALG,Který algoritmus je nejlepší pro detekci negativního cyklu?,BFS,DFS,Dijkstraův algoritmus,Bellman-Fordův algoritmus,Kruskaův algoritmus,D
B4B33ALG,Co je podstatou Omega notace?,Horní mez,Spodní mez,Přesná složitost,Průměrná složitost,Nejhorší složitost,B
B4B33ALG,Jaká je časová složitost vložení do haldy?,O(1),O(log n),O(n),O(n log n),O(n²),B
B4B33ALG,Která technika je použita v Knapsack problému?,Greedy,Divide and Conquer,Dynamické programování,Backtracking,Brute Force,C
B4B33ALG,Co je výhodou Merge sort?,Je in-place,Není rekurzivní,Je stabilní,Není efektivní,Není iterativní,C
B4B33ALG,Jaká je časová složitost BFS v nesouvislém grafu?,O(V),O(E),O(V + E),O(V log V),O(V²),C
B4B33ALG,Který algoritmus je nejlepší pro řazení velkých dat?,Quick sort,Merge sort,Insertion sort,Selection sort,Bubble sort,A
B4B33ALG,Co je pravda o Dijkstrově algoritmu?,Pracuje se zápornými váhami,Je rekurzivní,Používá frontu s prioritou,Není efektivní,Není iterativní,C
B4B33ALG,Jaká je časová složitost smazání z hashovací tabulky v průměru?,O(1),O(log n),O(n),O(n log n),O(n²),A
B4B33ALG,Která vlastnost není typická pro AVL strom?,Je vyvážený,Má výškový rozdíl max. 1,Všechny operace jsou O(log n),Může být nevyvážený,Vyžaduje rotace,D
B4B33ALG,Co je nevýhodou Quick sort?,Je stabilní,Může mít složitost O(n²),Není rekurzivní,Není in-place,Není efektivní,B
B4B33ALG,Jaká je časová složitost Primova algoritmu s binární haldou?,O(V),O(V + E),O(V log V),O((V + E) log V),O(V²),D
B4B33ALG,Který algoritmus je nejlepší pro nalezení všech komponent souvislosti?,BFS,DFS,Dijkstraův algoritmus,Bellman-Fordův algoritmus,Kruskaův algoritmus,B
B4B33ALG,Co je podstatou Divide and Conquer?,Rozdělení na podproblémy,Spojení všech prvků,Optimalizace paměti,Iterativní přístup,Randomizace,A
B4B33ALG,Jaká je časová složitost Insertion sort v nejhorším případě?,O(n),O(n log n),O(n²),O(log n),O(2ⁿ),C
B4B33ALG,Která struktura je nejlepší pro rychlé vyhledávání a vkládání?,Pole,Spojový seznam,Binární vyhledávací strom,AVL strom,Hashovací tabulka,D
B4B33ALG,Co je cílem dynamického programování?,Najít nejkratší cestu,Najít minimální kostru,Optimalizovat rekurzivní řešení,Najít cykly,Najít komponenty,C
B4B33ALG,Jaká je časová složitost vyhledání v haldě?,O(1),O(log n),O(n),O(n log n),O(n²),C
B4B33ALG,Který algoritmus je nejlepší pro stabilní řazení?,Quick sort,Merge sort,Insertion sort,Selection sort,Bubble sort,B
B4B38PSI,Co je základním stavebním kamenem počítačových sítí?,Router,Switch,Uzel (node),Kabel,Protokol,C
B4B38PSI,Který z následujících není typ počítačové sítě podle velikosti?,LAN,WAN,MAN,PAN,TAN,E
B4B38PSI,Co znamená zkratka VPN?,Virtual Private Network,Very Public Network,Virtual Public Network,Verified Private Network,Virtual Protected Network,A
B4B38PSI,Který protokol se používá pro přenos e-mailů?,HTTP,FTP,SMTP,POP3,IMAP,C
B4B38PSI,Co je IP adresa?,Unikátní identifikátor počítače v síti,Adresa webové stránky,Heslo pro přístup k síti,Typ síťového protokolu,Fyzická adresa síťové karty,A
B4B38PSI,Který z následujících je příkladem bezdrátové sítě?,Ethernet,Wi-Fi,Token Ring,FDDI,ATM,B
